ts_code,name,industry,industry_l1,industry_l2,area,close,pct_chg,pe,pb,total_mv,revenue,gross_profit,gpr,net_profit,npm,list_date,ytd_2024,ytd_2025,ytd_2026
601398.SH,工商银行,国有大型银行Ⅱ,银行,国有大型银行Ⅱ,北京,7.46,0.95,-5.93,-0.93,26587.89,8382.7,,,3685.62,44.23,2006-10-27,88.87,18.08,-4.59
601939.SH,建设银行,银行,银行,,北京,9.69,-0.21,4.42,-1.12,25349.04,7610.49,,,3389.06,44.65,,81.26,25.98,8.97
601288.SH,农业银行,国有大型银行Ⅱ,银行,国有大型银行Ⅱ,北京,6.9,0.44,-10.16,-1.15,24148.83,7253.06,,,2910.41,40.26,2010-07-15,120.9,37.82,-12.77
600941.SH,中国移动,通信服务,通信,通信服务,北京,96.68,0.69,-4.32,0.68,20937.99,10501.87,3031.71,28.87,1370.95,13.07,2022-01-05,10.66,-10.26,-1.67
601857.SH,中国石油,炼化及贸易,石油石化,炼化及贸易,北京,11.12,-1.33,6.82,-8.70,20351.94,28644.69,6183.48,21.59,1573.02,6.0,2007-11-05,73.95,30.36,7.45
300750.SZ,宁德时代,电池,电力设备,电池,福建,437.0,-3.24,21.27,2.18,19944.68,4237.02,1113.19,26.27,722.01,18.12,2018-06-11,204.1,71.39,13.36
601988.SH,中国银行,银行,银行,,北京,5.68,-0.18,-0.87,-2.24,18301.64,6583.1,,,2430.21,39.18,,73.29,18.17,4.59
600938.SH,中国海油,石油石化,石油石化,石油石化,北京,36.35,-0.03,20.44,-8.60,17277.16,3982.2,2049.59,51.47,1220.82,30.67,2022-04-21,89.53,26.12,19.9
600519.SH,贵州茅台,白酒Ⅱ,食品饮料,白酒Ⅱ,贵州,1372.99,0.14,-0.30,-2.28,17189.83,1720.54,1539.46,91.18,823.2,50.53,2001-08-27,-17.05,-8.83,-8.16
601138.SH,工业富联,消费电子,电子,消费电子,深圳,63.28,-1.4,2.53,-7.21,12557.28,9028.87,629.86,6.98,352.86,3.91,2018-06-08,483.0,273.61,16.44
